"ID","Attending","Graduate_On","Plan_attend","Completed","Completed_On","Graduated","Graduation_Date","ID_PK","Study","Grad_Date_Change","Completed_Date_Change","Graduation_Date_Change","Degree_Recieved"
"79","Shiloh High School","05/30/08 00:00:00","Georgia Tech",,"08/18/07 00:00:00",,"08/18/07 00:00:00","13","Industrial Engineering",,,,
"119","Fort Pierce Central High School","06/04/08 00:00:00","Indian River Community College","JT Finley Middle School","06/24/04 00:00:00",,"09/01/07 00:00:00","21","Veterinary Medicine, Pyschology, Sociology",,,,
"123","My High School","03/17/08 00:00:00","Vo Tech","Boy Scouts","09/17/07 00:00:00",,"09/17/07 00:00:00","22","Electronics",,,,
"133","A&M Consolidated High School","05/30/09 00:00:00","Texas A&M University",,"09/18/07 00:00:00",,"09/18/07 00:00:00","25","Medical Field",,,,
"132","Texas A&M University","05/18/15 00:00:00",,,"09/18/07 00:00:00","New Mexico Military Institute","05/18/00 00:00:00","26",,,,,
"129","A&M Consolidated High School","05/31/08 00:00:00","California State",,"09/18/07 00:00:00",,"09/18/07 00:00:00","28","Psychology",,,,
"131","A&M Consolidated High School","05/30/08 00:00:00","Texas A&M University",,"09/18/07 00:00:00",,"09/18/07 00:00:00","29","Early Childhood Development",,,,
"153","A&M Consolidated","09/20/07 00:00:00","A&M University",,"09/20/07 00:00:00",,"09/20/07 00:00:00","37","Biology",,,,
"158","Northport high","05/30/08 00:00:00",,,"09/20/07 00:00:00",,"09/20/07 00:00:00","39","fashion designer",,,,
"160","A&M Consolidated high school","05/26/09 00:00:00","NAHETS",,"09/20/07 00:00:00",,"09/20/07 00:00:00","40",,,,,
"160","A&M Consolidated high school","05/26/09 00:00:00"," National association heavy equiptment training sc","None","09/20/07 00:00:00","None","09/20/07 00:00:00","41","heavy equiptment operation",,,,
"169","A&M Consolidated High School","05/25/09 00:00:00","Blinn College",,"09/20/07 00:00:00",,"09/20/07 00:00:00","44","to become a pediatric nurse",,,,
"171","A&M Consolidated","05/30/08 00:00:00","A&M University",,"05/30/08 00:00:00",,"03/30/08 00:00:00","46","Biology",,,,
"180","A&M Consolidated High School","05/31/08 00:00:00","California State","A&M Consolidated Middle School","05/27/04 00:00:00",,"09/25/07 00:00:00","47","Psychology",,,,
"184","A&M Consolidated","05/25/09 00:00:00","Texas A&M University",,"09/25/07 00:00:00",,"09/25/07 00:00:00","50",,,,,
"187","A&M Consolidated","05/25/08 00:00:00","Blinn",,"09/25/07 00:00:00",,"09/25/07 00:00:00","51","outdoor management",,,,
"189","Ayer High School","05/25/09 00:00:00","Bryant University",,"09/25/07 00:00:00",,"09/25/07 00:00:00","52","Business",,,,
"196","A&m consolidated high school","05/30/08 00:00:00","Blinn ",,"09/26/07 00:00:00",,"09/26/07 00:00:00","53","bussinus",,,,
"194","South Carolina College of Architecture","05/26/08 00:00:00",,,"09/26/07 00:00:00","A&M Consolidated High school","05/26/03 00:00:00","54",,,,,
"198",,"10/01/07 00:00:00",,,"08/15/07 00:00:00","Nuvani Institute","08/17/07 00:00:00","55",,,,,
"10404",,"01/01/12 00:00:00",,"Warren Local High School","05/01/13 00:00:00","Kent State University","05/18/18 00:00:00","5928",,"Year-Only","Month-Only",,"GRAPHIC DESIGN3D BFA"
"10432","Carl Albert High School","01/01/15 00:00:00","University of oklahoma",,"01/01/12 00:00:00",,"01/01/12 00:00:00","5937","medical","Year-Only","Year-Only","Year-Only",
"10433","Carl Albert High School","05/01/15 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","5938",,"Month-Only","Year-Only","Year-Only",
"10436","Carl Albert","01/01/15 00:00:00","Rose state community college",,"01/01/12 00:00:00",,"01/01/12 00:00:00","5939","Physical Therapy","Year-Only","Year-Only","Year-Only",
"10428","Carl Albert High School","05/01/15 00:00:00","Oklahoma University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","5940","Business Administration","Month-Only","Year-Only","Year-Only",
"10429","Carl Albert High School","05/01/15 00:00:00","Oklahoma University or Oklahoma State University","Carl Albert High School","01/01/12 00:00:00",,"01/01/12 00:00:00","5941","Athletic Training","Month-Only","Year-Only","Year-Only",
"10441","Carl Albert High School","01/01/12 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","5942",,"Year-Only","Year-Only","Year-Only",
"10441","Carl Albert High School","01/01/12 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","5943",,"Year-Only","Year-Only","Year-Only",
"10440","Carl albert","05/21/15 00:00:00","Rose state community college","U.S. army basic training","10/08/16 00:00:00","Carl albert","05/22/15 00:00:00","5944","ROTC ",,,,
"10445","Carl Albert High School","05/14/15 00:00:00","Oklahoma University College","N/a","01/01/12 00:00:00","N/a","01/01/12 00:00:00","5945","Business",,"Year-Only","Year-Only","N/A"
"10443","Carl Albert High school","05/13/15 00:00:00","N/A","N/A","01/01/12 00:00:00","N/A","01/01/12 00:00:00","5946","N/A",,"Year-Only","Year-Only","N/A"
"10478","Kaimuki High School","06/07/13 00:00:00","Brigham Young University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","5959","Doctorate Degree",,"Year-Only","Year-Only",
"10484",,"01/01/12 00:00:00",,"U.S. Army Basic Training and AIT","11/10/11 00:00:00","Northeast Catholic High School","06/07/07 00:00:00","5960",,"Year-Only",,,
"10569","Andover High School","01/01/13 00:00:00","Concordia University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6016","Probation officer","Year-Only","Year-Only","Year-Only",
"10634","Camberll High School","01/01/13 00:00:00","Marines",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6056","Military Police","Year-Only","Year-Only","Year-Only",
"10895",,"01/01/12 00:00:00",,,"01/01/12 00:00:00","Kaimuki High School","05/19/12 00:00:00","6245",,"Year-Only","Year-Only",,"DOE"
"10897","Anoka High School","06/05/14 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6246",,,"Year-Only","Year-Only",
"14483","Woodland High School","01/01/16 00:00:00",,,"01/01/13 00:00:00",,"01/01/13 00:00:00","8753","Acrhitecture","Year-Only","Year-Only","Year-Only",
"14479","Woodland highschool","05/28/13 00:00:00","University of Georgia ",,"01/01/13 00:00:00",,"01/01/13 00:00:00","8754","business administration",,"Year-Only","Year-Only",
"14484","Woodland Highschool","05/25/17 00:00:00","University of Georgia","Austin Road Middle School","05/25/13 00:00:00","Austin Road Middle School","05/25/13 00:00:00","8755","Fashion Design ( not gay ) Or Music",,,,
"14504","Alexandria Central","06/28/15 00:00:00",,,"01/01/14 00:00:00",,"01/01/14 00:00:00","8764",,,"Year-Only","Year-Only",
"14508","Alexandria Central","06/10/15 00:00:00","U.S. Army Basic Training","BOCES Early Childhood Education","06/10/15 00:00:00",,"01/01/14 00:00:00","8765",,,,"Year-Only",
"14555","Locust Grove High","05/26/14 00:00:00","Le Cordon Bleu Culinary Institute","Locust Grove Middle","01/01/12 00:00:00",,"01/01/14 00:00:00","8846","Cooking ",,"Year-Only","Year-Only",
"13838","Anoka ","06/06/14 00:00:00","Ndsu","Current attendant","06/06/14 00:00:00","Current attendant","01/01/14 00:00:00","8868","mechanical engineering",,,"Year-Only",
"0","Utah State University","12/19/10 00:00:00","Utah State University","Snow Canyon High","12/19/07 00:00:00","Snow Canyon High","05/11/08 00:00:00","550","Marin life",,,,
"10486","Plainview Old Bethpage JFK High School","06/27/14 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","5988",,,"Year-Only","Year-Only",
"10562",,"01/01/12 00:00:00","Community College of Philadelphia","Initial Active Duty Training","11/15/11 00:00:00","Northeast Catholic High School","06/10/10 00:00:00","6011","Networking and Information Technology","Year-Only",,,
"10562",,"01/01/12 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6012",,"Year-Only","Year-Only","Year-Only",
"10580","Andover High School","05/31/12 00:00:00","University of Minnesota Duluth",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6024","Business Administration",,"Year-Only","Year-Only",
"9935",,"01/01/12 00:00:00",,"Wethersfield High School","05/01/87 00:00:00","Black Hawk East","05/01/89 00:00:00","5588",,"Year-Only","Month-Only","Month-Only","DENTAL ASSISTING DIPLOMA "
"10585","Campbell-Tintah High School","01/01/14 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6025",,"Year-Only","Year-Only","Year-Only",
"10586","Campbell Tintah High School ","05/25/13 00:00:00","Skt. Knuds Gymnasium ",,"01/01/12 00:00:00","Odense Friskole ","05/23/11 00:00:00","6026","Social/ Helping ",,"Year-Only",,
"10594","Grant Academy","01/10/13 00:00:00","Blue Cliff College",,"01/10/12 00:00:00",,"01/01/12 00:00:00","6027","Massage Therapist",,,"Year-Only",
"10590","Grant academy","05/11/12 00:00:00","LSU",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6028","High school diploma",,"Year-Only","Year-Only",
"10593","Grant Academmy ","05/24/15 00:00:00","Grant High",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6029","Deploma",,"Year-Only","Year-Only",
"10592","Grant High","05/15/14 00:00:00","Louisiana State Unvristy",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6030","High Diploma",,"Year-Only","Year-Only",
"10587","Campbell-Tintih","05/22/14 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6033",,,"Year-Only","Year-Only",
"10601","Campbell-Tintah High School","01/01/14 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6037",,"Year-Only","Year-Only","Year-Only",
"10602","Campbell","05/28/14 00:00:00","NDSU","N/a","01/01/12 00:00:00",,"01/01/12 00:00:00","6038","Agriculture",,"Year-Only","Year-Only",
"10603","Campbell-Tintah","05/27/14 00:00:00","NDSCS",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6039","Veterinary Technician",,"Year-Only","Year-Only",
"10604","Brentsville district high school","06/09/12 00:00:00","Northern virginia community college",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6040",,,"Year-Only","Year-Only",
"10613","Brentsville District High School","06/09/12 00:00:00","Shenandoah University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6041","Nursing",,"Year-Only","Year-Only",
"10591","Grant High School","05/15/14 00:00:00","Northwesterrn state unversity","Dry Prong JR","05/19/14 00:00:00","Dry Prong JR","05/16/14 00:00:00","6031","foriegn affairs",,,,
"10588","Campbell-Tintah","05/27/14 00:00:00","NDSCS",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6032","Automotive Technology",,"Year-Only","Year-Only",
"10715","Timberlake High School","06/08/13 00:00:00","North Idaho College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6121","Medical",,"Year-Only","Year-Only","DIMPLOMA"
"10709","Timber Lake High School","06/05/13 00:00:00","NIC",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6122","Industrial Welding ",,"Year-Only","Year-Only",
"10716","Timberlake Highschool","06/08/13 00:00:00","North Idaho College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6123","Mechanical Engineer",,"Year-Only","Year-Only",
"10719","Timberlake High School","06/08/13 00:00:00","P.O.S.T. Academy",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6124","Law",,"Year-Only","Year-Only",
"10722","Timberlake HIgh School","07/07/13 00:00:00","Norht Idaho College",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6125","Music",,"Year-Only","Year-Only",
"10721","Timberlake","06/10/13 00:00:00","NIC",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6126","Art",,"Year-Only","Year-Only",
"10706","Timberlake High School","06/05/13 00:00:00","University of Minnesota",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6127","Fish and Game",,"Year-Only","Year-Only",
"10727","Timberlake High School","06/08/13 00:00:00","Boston University",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6128","Pre-law and Psychology",,"Year-Only","Year-Only",
"10728","Franklin High School","06/10/15 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6129",,,"Year-Only","Year-Only",
"10737","Franklin High School Adult Ed","06/07/12 00:00:00","Red Crossing / Nursing Program ",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6130","Nursing",,"Year-Only","Year-Only",
"10743","NRHEG High School","05/25/12 00:00:00",,,"01/01/12 00:00:00",,"01/01/12 00:00:00","6131",,,"Year-Only","Year-Only",
"10741","NRHEG","05/27/13 00:00:00","Harvard ","Yale","06/09/69 00:00:00","Jolie Hair and Beauty academy","06/09/69 00:00:00","6132","animal bountyhunter/ maid  ",,,,"ALL OF THEM"
"10734","NRHEG high school","05/28/13 00:00:00","Southwest community college",,"01/01/12 00:00:00",,"01/01/12 00:00:00","6133","philosophy",,"Year-Only","Year-Only",
"10745","NRHEG","05/25/13 00:00:00","Alexandria Tec.","NRHEG","05/25/13 00:00:00","NRHEG","05/25/13 00:00:00","6134","Business degree",,,,"BA"
"10749","NRHEG High School","05/30/13 00:00:00","RCTC","NRHEG High School","05/30/12 00:00:00","NRHEG High School","05/30/12 00:00:00","6135","Orthodontic Assistant",,,,"AA"
"10748",,"01/01/12 00:00:00",,,"01/01/12 00:00:00","Winona State University  ","05/12/12 00:00:00","6136",,"Year-Only","Year-Only",,"SOCIAL WORK"
"10751",,"01/01/12 00:00:00",,,"01/01/12 00:00:00","Clemson","04/29/12 00:00:00","6137",,"Year-Only","Year-Only",,"BA"
